"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"											
	1994	5	29			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
	1994	6	6		5387	"Huila, Nevado del"	"Colombia"	"Colombia"	2.93	-76.03	5364	"Stratovolcano"
	1994	9	19	2229		"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"
	1994	11	3			"Rinjani"	"Lesser Sunda Is"	"Indonesia"	-8.42	116.47	3726	"Stratovolcano"
	1994	11	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1995	2	4			"Yasur"	"Vanuatu-SW Pacific"	"Vanuatu"	-19.532	169.447	361	"Stratovolcano"
	1995	2	11			"Yakedake"	"Honshu-Japan"	"Japan"	36.227	137.587	2455	"Stratovolcano"
	1995	4	2			"Fogo"	"Cape Verde Is"	"Cape Verde"	14.95	-24.35	2829	"Stratovolcano"
	1995	4	7			"Pacaya"	"Guatemala"	"Guatemala"	14.382	-90.601	2569	"Complex volcano"
	1995	5	15			"Kelimutu"	"Lesser Sunda Is"	"Indonesia"	-8.77	121.82	1639	"Complex volcano"
	1995	9	6			"Parker"	"Mindanao-Philippines"	"Philippines"	6.113	124.892	1824	"Stratovolcano"
	1996	1	2	2392		"Karymsky"	"Kamchatka"	"Russia"	54.049	159.443	1513	"Stratovolcano"
	1996	4	30			"Popocatepetl"	"Mexico"	"Mexico"	19.023	-98.622	5393	"Stratovolcano"
	1996	8	10			"Kanlaon"	"Philippines-C"	"Philippines"	10.412	123.132	2435	"Stratovolcano"
	1996	9	4	2265	6499	"Sumisujima"	"Izu Is-Japan"	"Japan"	31.44	140.051	136	"Submarine volcano"
	1996	9	27			"Maderas"	"Nicaragua"	"Nicaragua"	11.446	-85.515	1394	"Stratovolcano"
	1996	9	30			"Grimsvotn"	"Iceland-NE"	"Iceland"	64.416	-17.316	1719	"Caldera"
	1996	12	3			"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"
	1997	1	14			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1997	4	17			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"
	1997	6	25			"Soufriere Hills"	"W Indies"	"Montserrat"	16.72	-62.18	915	"Stratovolcano"
	1997	7	12			"Hakkodasan"	"Honshu-Japan"	"Japan"	40.659	140.877	1585	"Stratovolcano"
	1997	8	1			"Soufriere Hills"	"W Indies"	"Montserrat"	16.72	-62.18	915	"Stratovolcano"
	1997	9	2			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1997	9	15			"Adatarayama"	"Honshu-Japan"	"Japan"	37.647	140.281	1728	"Stratovolcano"
	1997	11	23			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
