,date,Latitude,Longitude,Elevation (m),Type,magAFV-MEAN,magAFV-MAX,magAFV-DELTA,magAFV-SD,sB-MEAN,sB-MAX,sB-DELTA,sB-SD,PT-MEAN,PT-MAX,PT-DELTA,PT-SD,PD-MEAN,PD-MAX,PD-DELTA,PD-SD,PFS-MEAN,PFS-MAX,PFS-DELTA,PFS-SD,FP-MEAN,FP-MAX,FP-DELTA,FP-SD,EF-MEAN,EF-MAX,EF-DELTA,EF-SD,Kp-MEAN,Kp-MAX,Kp-DELTA,Kp-SD,DST-MEAN,DST-MAX,DST-DELTA,DST-SD
47,1974-10-17,-5.519,148.115,75,Stratovolcano,8.767999999999999,12.4,6.5,2.0366884886992414,4.763999999999999,7.8,5.699999999999999,1.7303371540444559,217839.84,459830.0,418611.0,141247.47243717322,9.9,14.7,8.2,2.621704280298091,545.68,611.0,131.0,41.007844777960884,6.2636,9.24,5.27,1.6516554321851353,0.9431999999999999,3.38,7.6,1.8430878076387642,55.0,70.0,27.0,8.246211251235321,-52.6,-35.0,42.0,10.291582320841954
48,1974-10-22,-7.54,110.446,2910,Stratovolcano,4.449999999999999,5.0,1.1,0.4932882862316248,3.45,4.1,1.3999999999999995,0.7549834435270748,113804.16,176032.0,86874.0,27921.435528520615,3.6919999999999997,5.2,2.4000000000000004,0.5957628163399704,481.04,543.0,98.0,31.86884581112616,1.7140000000000004,2.28,0.8199999999999998,0.1810156530984728,-1.125,-0.37,1.23,0.5331978994707313,22.64,37.0,27.0,7.983733462484829,-28.04,-22.0,19.0,5.365631370118525
49,,-0.38,100.474,2885,Complex volcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1975-06-17,10.463,-84.703,1670,Stratovolcano,3.971428571428571,5.9,3.4000000000000004,1.399659822616774,3.4,4.8,3.5,1.3589211407093005,271836.5,318833.0,88294.0,33732.0812241742,3.2624999999999997,3.5,0.5,0.18468119248354134,684.3846153846154,699.0,42.0,12.894045534913015,2.83,3.05,0.5,0.18554937733275054,-0.5199999999999999,0.76,2.56,0.9130717386930777,31.52,37.0,20.0,4.744470465710584,-5.04,2.0,15.0,3.690979996333404
51,1975-11-29,19.421,-155.287,1222,Shield volcano,4.812,10.0,9.3,2.2947984660967506,1.3920000000000001,3.1,2.8000000000000003,0.6744874597302261,33036.125,58907.0,41118.0,12009.272013242246,21.091666666666665,40.8,32.9,10.110129086462127,339.5416666666667,377.0,66.0,21.693475610375828,4.805833333333333,10.63,8.580000000000002,2.393382028893817,0.30916666666666665,1.25,2.1,0.5627797211100927,21.56,30.0,20.0,7.1126647608333124,-1.96,13.0,28.0,6.535033792312528
52,1976-08-03,36.618,138.528,2165,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.68,30.0,27.0,9.3305948363435,-7.96,0.0,13.0,3.5057096285916205
53,1976-08-12,-2.005,-78.341,5286,Stratovolcano,3.0875,3.3,0.7999999999999998,0.27998724460742336,1.2125,2.3,1.7999999999999998,0.5693040864574422,52808.565217391304,81673.0,56253.0,13167.372951304113,2.917391304347826,4.0,2.0,0.46088075159815023,404.5652173913044,456.0,92.0,26.25197150511059,0.907391304347826,1.16,0.6299999999999999,0.18613820357476196,0.7750000000000001,1.14,0.6099999999999999,0.26376396374681016,12.4,23.0,23.0,7.416198487095664,-17.44,-8.0,19.0,4.941996897341532
54,1976-08-31,-8.108,112.922,3657,Stratovolcano,3.3125,4.1,2.9999999999999996,0.6879790820884776,1.1583333333333334,2.6,2.2,0.5897063872711621,49384.875,74211.0,42305.0,9250.969515877547,5.891666666666666,8.1,3.8999999999999995,1.0954120394773301,374.5,406.0,48.0,13.698619416315042,1.522916666666667,1.98,0.9099999999999999,0.28398528998442196,0.2004166666666667,1.12,2.27,0.5160340329749636,14.76,27.0,27.0,6.796322535018479,-9.56,-5.0,13.0,3.524674925909244
55,1976-09-15,2.781,125.407,1797,Stratovolcano,6.092,10.2,8.2,2.7172167132318807,2.384,5.1,4.3999999999999995,1.2033564171377766,58512.76,105754.0,81499.0,24698.741194778868,21.048000000000002,40.5,36.8,11.152918900449334,357.08,378.0,39.0,13.524422353653407,5.2148,11.33,10.45,3.0773813543335833,-0.6012,1.73,4.140000000000001,1.3862789522074312,22.72,30.0,23.0,5.912698199637793,4.36,21.0,30.0,7.926117166263274
56,1976-11-25,-7.54,110.446,2910,Stratovolcano,3.4086956521739133,6.9,4.9,1.1665462011963743,1.326086956521739,2.5,1.8,0.4158423994565378,44343.916666666664,87308.0,61086.0,16039.799225992356,5.7250000000000005,11.2,6.999999999999999,1.6718253497300488,363.6666666666667,376.0,25.0,7.364230038365926,1.3929166666666666,2.77,1.77,0.40218402846660034,-0.008695652173913042,0.81,2.13,0.6664035383229355,6.4,20.0,20.0,6.123724356957945,-5.8,5.0,18.0,4.252450274057692
